text,substantive
"Работал с Python (Django, FastAPI), оптимизировал запросы к БД, сократив время обработки на 25%. Участвовал в запуске 3 высоконагруженных сервисов.",1
"За 2 года увеличила конверсию сайта с 1.5% до 3.8% через A/B-тесты и редизайн лендингов. Владею Google Analytics, SQL, email-маркетингом.",1
"Опыт работы — 6 лет. Внедрила систему контроля за пациентами после операций, что снизило количество рецидивов на 15%.",1
"Разработал модель прогнозирования рисков, которая сократила убытки на 12% за год. Навыки: Excel (VBA), Power BI, SQL.",1
"Создала 10+ интерфейсов для FinTech-стартапов. Провожу user research и тестирование. Владею Figma, Adobe XD.",1
За 4 года подготовил 200+ студентов к собеседованиям в международные компании. Использую интерактивные методы и кейсы из реального бизнеса.,1
Управлял проектами реконструкции зданий (бюджет до 50 млн руб.). Сократил сроки сдачи объектов на 20% через оптимизацию процессов.,1
"Закрыла 50+ вакансий за год. Внедрила систему оценки кандидатов, сократив время найма на 30%.",1
"Снизил затраты на транспортировку на 18% за счет пересмотра маршрутов и переговоров с поставщиками. Работаю с SAP, WMS.",1
Написала 100+ технических текстов и инструкций. Участвовала в запуске 2 образовательных платформ. Снизила количество обращений в поддержку на 40% через улучшение документации.,1
Всегда стремлюсь к профессиональному росту. Умею работать в команде и находить нестандартные решения.,0
Готова учиться новому и развиваться в выбранной сфере.,0
Легко нахожу общий язык с коллегами.,0
Быстро обучаюсь и готова браться за сложные задачи.,0
Знаю все тонкости своей профессии.,0
Все проекты завершаю в срок.,0
Подхожу к задачам креативно.,0
Всегда выполняю работу на совесть.,0
Хочу работать в прогрессивной компании.,0
Быстро осваиваю новое ПО.,0
"За 3 года создал 15+ SPA для корпоративных клиентов. Ускорил загрузку страниц на 35% через оптимизацию кода. Владею TypeScript, Redux, Jest.",1
"Внедрила систему переработки отходов, сократив выбросы на 25%. Провела 50+ аудитов соответствия экологическим стандартам.",1
"Разработал дашборды для анализа продаж (Power BI, Tableau), что повысило скорость принятия решений на 40%.",1
"Создала 200+ креативов для брендов. Увеличила CTR рекламных кампаний в среднем на 18%. Работаю в Adobe Photoshop, Illustrator.",1
"Автоматизировала формирование отчетности, сократив время на закрытие месяца с 10 до 4 дней. Опыт работы — 8 лет.",1
"Успешно запустил 3 образовательных платформы с аудиторией 50 000+ пользователей. Использую Scrum, Jira, Notion.",1
"Внедрила систему учета препаратов, сократив ошибки в заказах на 30%. Консультирую 100+ клиентов ежемесячно.",1
Написала 500+ статей с средним вовлечением 8%. Специализация: лонгриды и интервью.,1
Снизил процент брака с 5% до 1.2% за год через внедрение системы контроля. Работа с ISO 9001.,1
"Настроил 50+ рекламных кампаний с ROI 250%. Владею Facebook Ads, Google Ads, аналитикой.",1
Стараюсь выполнять задачи качественно и в срок.,0
Готова к новым вызовам!,0
Всегда открыт для обратной связи.,0
Ответственно подхожу к задачам.,0
Умею быстро осваивать новое.,0
Всегда соблюдаю дедлайны.,0
Готов помогать коллегам и брать ответственность.,0
Умею адаптироваться к изменениям.,0
Всегда довожу дела до конца.,0
Стремлюсь к профессиональным вершинам.,0
"За 4 года провел 20+ аудитов инфраструктуры, устранил 95% уязвимостей в системе банка. Владею Pentest, SIEM, ISO 27001.",1
Организовала 30+ мероприятий (до 500 участников). Сократила бюджет на логистику на 25% через партнерские программы.,1
"Разработал алгоритм анализа геномных данных, ускоривший обработку на 50%. Публикации в Nature, опыт работы с Python/R.",1
"Увеличила трафик сайта с 10К до 80К/мес за год. Пишу SEO-тексты, работаю с Tilda, WordPress.",1
"Внедрила программу снижения углеродного следа на заводе (экономия 200 тонн CO₂/год). Опыт: GRI-отчетность, ESG-стратегии.",1
"Запустила 5 проектов с общей аудиторией 500К+ слушателей. Самостоятельно монтирую в Audacity, веду переговоры с рекламодателями.",1
"Создал прототип автономного дрона для доставки. Опыт: C++, ROS, компьютерное зрение. Участвовал в 3 международных хакатонах.",1
"Увеличил средний чек на 45% через персональные предложения. Ведение CRM (Salesforce), анализ LTV.",1
Выпустила 20+ номеров с тиражом 50К экз. Наладила работу с авторами (сроки сдачи статей сокращены на 30%).,1
"Привлек $2 млн на исследования в области биотехнологий. Опыт: написание заявок, коммуникация с фондами (РНФ, Horizon Europe).",1
Всегда готова помочь коллегам и клиентам.,0
Мечтаю реализовать свои идеи в дружной команде.,0
Всегда соблюдаю сроки и требования.,0
Готова осваивать новые направления.,0
Не боюсь сложных проектов.,0
Всегда предлагаю улучшения.,0
Стремлюсь к совершенству в работе.,0
Умею мотивировать коллег.,0
